Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
Fin w/spade rudder,Fractional  Sloop,9.04 m,7.16 m,3.12 m,40.32 m<sup>2</sup>,1.68 m,"2,427 kg","1,043 kg",22.77,42.99,184.04,FG,,1981,195,Bruce Kirby,14.70,2.35,3.57,10.52 m,3.23 m,11.35 m,4.11 m,,,16.99 m<sup>2</sup>,23.36 m<sup>2</sup>,22.78,11.00 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kirby-30/pdf"">PDF</a>",KIRBY 30,05256.jpg,,Mirage Yachts Ltd. (CAN),,,BMW orYanmar,Diesel,,,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,9.04 m,7.16 m,3.12 m,40.32 m<sup>2</sup>,1.68 m,"2,427 kg","1,043 kg",22.77,42.99,184.04,FG,,1981,195,Bruce Kirby,14.70,2.35,3.57,10.52 m,3.23 m,11.35 m,4.11 m,,,16.99 m<sup>2</sup>,23.36 m<sup>2</sup>,22.78,11.00 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kirby-30/pdf"">PDF</a>",KIRBY 30,05257.jpg,,Mirage Yachts Ltd. (CAN),,,BMW orYanmar,Diesel,,,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,10.94 m,9.24 m,3.51 m,64.38 m<sup>2</sup>,2.07 m,"4,763 kg",,23.20,,168.51,FG,Lead,1983,6,Bruce Kirby,19.62,2.10,3.87,12.95 m,3.81 m,14.86 m,5.33 m,,,24.68 m<sup>2</sup>,39.63 m<sup>2</sup>,23.18,13.50 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kirby-36/pdf"">PDF</a>",KIRBY 36,05258.jpg,,Scorpio Yachts (CAN),3GMD,,Yanmar,Diesel,27,57 L,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,10.94 m,9.24 m,3.51 m,64.38 m<sup>2</sup>,2.07 m,"4,763 kg",,23.20,,168.51,FG,Lead,1983,6,Bruce Kirby,19.62,2.10,3.87,12.95 m,3.81 m,14.86 m,5.33 m,,,24.68 m<sup>2</sup>,39.63 m<sup>2</sup>,23.18,13.50 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kirby-36/pdf"">PDF</a>",KIRBY 36,05259.jpg,,Scorpio Yachts (CAN),3GMD,,Yanmar,Diesel,27,57 L,,,,,,,,,
Fin w/spade rudder,Masthead Sloop,8.03 m,6.50 m,2.90 m,30.47 m<sup>2</sup>,1.37 m,"2,291 kg","1,111 kg",17.88,48.51,232.31,FG,,1978,22,Bruce Kirby,17.04,2.22,2.44,10.52 m,3.29 m,9.08 m,2.90 m,,,17.31 m<sup>2</sup>,13.15 m<sup>2</sup>,17.87,11.02 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kirby-8m/pdf"">PDF</a>",KIRBY 8M,05260.jpg,,Evasion Sailboats (CAN),,,,,,,,,,,,,,,
Fin with rudder on skeg,Masthead Sloop,11.05 m,9.08 m,3.00 m,52.95 m<sup>2</sup>,1.60 m,"5,200 kg","1,928 kg",18.00,37.07,193.39,FG,Iron,1971,254,H. Amel,26.56,1.75,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kirk-36-amel/pdf"">PDF</a>",KIRK 36 (AMEL),05261.jpg,,Chantier Amel (FRA),,1978,Volvo Penta,Diesel,,98 L,,250 L,,,,,,,
Fin with rudder on skeg,Masthead Sloop,11.05 m,9.08 m,3.00 m,52.95 m<sup>2</sup>,1.60 m,"5,200 kg","1,928 kg",18.00,37.07,193.39,FG,Iron,1971,254,H. Amel,26.56,1.75,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kirk-36-amel/pdf"">PDF</a>",KIRK 36 (AMEL),05262.jpg,,Chantier Amel (FRA),,1978,Volvo Penta,Diesel,,98 L,,250 L,,,,,,,
Dbrd. Dinghy,Cat (unstayed),3.53 m,3.33 m,1.52 m,7.25 m<sup>2</sup>,0.91 m,75 kg,,41.51,,56.57,FG,,1965,,Carter Pyle,2.68,3.65,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kite/pdf"">PDF</a>",KITE,05263.jpg,0.13 m,Newport Boats (USA),,,,,,,,,,,,,,,
Cbrd w/outboard rudder,Gaffhead Sloop,7.20 m,5.70 m,2.05 m,19.70 m<sup>2</sup>,1.20 m,750 kg,194 kg,24.32,25.89,112.85,GRP,Lead,2010,,Andrew Wolstenholme,9.99,2.28,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kite-wolstenholme/pdf"">PDF</a>",KITE (WOLSTENHOLME),05264.jpg,0.30 m,Demon Yachts (UK),,,,Outboard (well),6,,,,,,,,,,
Cbrd w/outboard rudder,Gaffhead Sloop,7.20 m,5.70 m,2.05 m,19.70 m<sup>2</sup>,1.20 m,750 kg,194 kg,24.32,25.89,112.85,GRP,Lead,2010,,Andrew Wolstenholme,9.99,2.28,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kite-wolstenholme/pdf"">PDF</a>",KITE (WOLSTENHOLME),05265.jpg,0.30 m,Demon Yachts (UK),,,,Outboard (well),6,,,,,,,,,,
Cbrd w/outboard rudder,Gaff head Cat,4.57 m,,1.83 m,15.14 m<sup>2</sup>,,,,,,,Wood; Carvel planked,Steel centerboard,1920,,John Winslow,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kitten-one-design-class/pdf"">PDF</a>",KITTEN ONE DESIGN CLASS,05266.jpg,0.15 m,Various/Blanchard Boat Co.,,,,,,,,,,,,,,,
Long Keel,Masthead Sloop,7.19 m,5.41 m,2.26 m,22.95 m<sup>2</sup>,0.86 m,"1,678 kg",680 kg,16.56,40.54,295.36,FG,Lead,1972,,Carl Alberg,20.31,1.92,1.75,8.38 m,2.68 m,7.32 m,3.20 m,,,11.24 m<sup>2</sup>,11.71 m<sup>2</sup>,16.56,8.80 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kittiwake-23/pdf"">PDF</a>",KITTIWAKE 23,05267.jpg,,South Coast Seacraft/Kenner Boat Co.,,1978,,,,,,,,,,,,,
Fin w/spade rudder,Masthead Sloop,7.32 m,6.25 m,2.95 m,25.92 m<sup>2</sup>,1.32 m,"1,950 kg","1,021 kg",16.93,52.33,222.82,FG,Lead,1974,,Ron Holland,15.01,2.38,2.44,9.60 m,3.05 m,8.23 m,2.74 m,,,14.63 m<sup>2</sup>,11.29 m<sup>2</sup>,16.93,10.07 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kiwi-24/pdf"">PDF</a>",KIWI 24,05268.jpg,,Kiwi Boats (USA),,1981,,,,,,,,,,,,,
Lifting Keel,Fractional  Sloop,10.67 m,8.84 m,4.27 m,44.31 m<sup>2</sup>,2.13 m,"1,293 kg",499 kg,38.06,38.60,52.17,FG,Lead,1984,5,O. H. Rodgers,4.26,3.95,8.59,11.18 m,3.35 m,11.43 m,4.11 m,3.81 m,11.68 m,18.74 m<sup>2</sup>,23.52 m<sup>2</sup>,36.29,11.67 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kiwi-35/pdf"">PDF</a>",KIWI 35,05269.jpg,0.46 m,Kiwi Boats (USA),,,,,,,,,,,,,,,
Lifting Keel,Fractional  Sloop,10.67 m,8.84 m,4.27 m,44.31 m<sup>2</sup>,2.13 m,"1,293 kg",499 kg,38.06,38.60,52.17,FG,Lead,1984,5,O. H. Rodgers,4.26,3.95,8.59,11.18 m,3.35 m,11.43 m,4.11 m,3.81 m,11.68 m,18.74 m<sup>2</sup>,23.52 m<sup>2</sup>,36.29,11.67 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kiwi-35/pdf"">PDF</a>",KIWI 35,05270.jpg,0.46 m,Kiwi Boats (USA),,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,11.00 m,10.00 m,6.49 m,68.93 m<sup>2</sup>,2.64 m,"4,350 kg",,26.39,,121.21,FG/Composite,,2008,,Bakewell-White Yacht Design,7.47,4.02,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/km36/pdf"">PDF</a>",KM36,05271.jpg,,Advanced Marine Tech (SKOR),,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,11.00 m,10.00 m,6.49 m,68.93 m<sup>2</sup>,2.64 m,"4,350 kg",,26.39,,121.21,FG/Composite,,2008,,Bakewell-White Yacht Design,7.47,4.02,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/km36/pdf"">PDF</a>",KM36,05272.jpg,,Advanced Marine Tech (SKOR),,,,,,,,,,,,,,,
Fin Keel,Fractional  Sloop,9.24 m,6.21 m,2.12 m,26.57 m<sup>2</sup>,1.30 m,"2,225 kg","1,280 kg",15.90,57.53,259.07,Wood/FG,Iron,1946,450,Erling Kristoffersen,24.52,1.64,1.82,7.75 m,2.00 m,9.45 m,3.37 m,,,7.75 m<sup>2</sup>,15.93 m<sup>2</sup>,14.17,8.00 m,"<a class="""" href=""https://sailboatdata.com/sailboat/knarr/pdf"">PDF</a>",KNARR,05273.jpg,,,,,,,,,,,,,,,,,
Fin Keel,Fractional  Sloop,9.24 m,6.21 m,2.12 m,26.57 m<sup>2</sup>,1.30 m,"2,225 kg","1,280 kg",15.90,57.53,259.07,Wood/FG,Iron,1946,450,Erling Kristoffersen,24.52,1.64,1.82,7.75 m,2.00 m,9.45 m,3.37 m,,,7.75 m<sup>2</sup>,15.93 m<sup>2</sup>,14.17,8.00 m,"<a class="""" href=""https://sailboatdata.com/sailboat/knarr/pdf"">PDF</a>",KNARR,05274.jpg,,,,,,,,,,,,,,,,,
Fin Keel,Fractional  Sloop,8.00 m,5.79 m,2.01 m,31.31 m<sup>2</sup>,1.35 m,"1,828 kg",930 kg,21.35,50.87,262.30,FG,,1964,20,Sparkman & Stephens,23.90,1.66,2.42,8.46 m,2.69 m,9.91 m,4.01 m,,,11.38 m<sup>2</sup>,19.88 m<sup>2</sup>,21.32,8.88 m,"<a class="""" href=""https://sailboatdata.com/sailboat/knickerbocker-one-design/pdf"">PDF</a>",KNICKERBOCKER ONE-DESIGN,05275.jpg,,American Boatbuilding Corp. (USA),,,,,,,,,,,,,,,
Fin Keel,Fractional  Sloop,8.00 m,5.79 m,2.01 m,31.31 m<sup>2</sup>,1.35 m,"1,828 kg",930 kg,21.35,50.87,262.30,FG,,1964,20,Sparkman & Stephens,23.90,1.66,2.42,8.46 m,2.69 m,9.91 m,4.01 m,,,11.38 m<sup>2</sup>,19.88 m<sup>2</sup>,21.32,8.88 m,"<a class="""" href=""https://sailboatdata.com/sailboat/knickerbocker-one-design/pdf"">PDF</a>",KNICKERBOCKER ONE-DESIGN,05276.jpg,,American Boatbuilding Corp. (USA),,,,,,,,,,,,,,,
Fin Keel,Fractional  Sloop,10.67 m,7.62 m,3.00 m,53.05 m<sup>2</sup>,1.47 m,"7,711 kg","2,431 kg",13.87,31.53,485.71,Wood,Lead,1955,,Sparkman & Stephens,44.70,1.53,0.66,13.41 m,3.96 m,11.58 m,4.57 m,,,26.57 m<sup>2</sup>,26.48 m<sup>2</sup>,13.87,13.98 m,"<a class="""" href=""https://sailboatdata.com/sailboat/knutson-35/pdf"">PDF</a>",KNUTSON 35,05277.jpg,,Thomas Knutson Shipbuilding (USA),,,Graymarine,Gas,30,,,,,,,,,,
Catamaran Twin Keel,Fractional  Sloop,13.45 m,12.10 m,7.20 m,,0.95 m,"9,000 kg",,,,141.56,FG,,2005,,Angelo Lavranos,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/knysna-440/pdf"">PDF</a>",KNYSNA 440,05278.jpg,,Knysna Yacht Company(S Africa),,,Yanmar,Diesel X 2,,598 L,,598 L,,N/A,,,,,
Catamaran Twin Keel,Fractional  Sloop,15.24 m,13.77 m,7.96 m,114.92 m<sup>2</sup>,1.21 m,"13,500 kg",,20.69,,144.07,FG/vinylVacuum/foam sandwich,,2014,,Angelo Lavranos,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/knysna-500/pdf"">PDF</a>",KNYSNA 500,05279.jpg,,Knysna Yacht Company,,,Yanmar,Diesel X 2,108,598 L,,598 L,,0.69,19.00 m,,,,
Fin w/spade rudder,Masthead  Ketch,15.30 m,12.31 m,4.04 m,131.00 m<sup>2</sup>,2.15 m,"16,500 kg","6,500 kg",20.64,39.39,246.46,GRP,,1973,,Robert Clark,41.53,1.60,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/koala-50/pdf"">PDF</a>",KOALA 50,05280.jpg,,Nordcantieri (ITA),,,,Diesel,75,220 L,2.00 m,,,,,,,,
Fin w/spade rudder,Masthead  Ketch,15.30 m,12.31 m,4.04 m,131.00 m<sup>2</sup>,2.15 m,"16,500 kg","6,500 kg",20.64,39.39,246.46,GRP,,1973,,Robert Clark,41.53,1.60,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/koala-50/pdf"">PDF</a>",KOALA 50,05281.jpg,,Nordcantieri (ITA),,,,Diesel,75,220 L,2.00 m,,,,,,,,
Fin w/transom hung rudder,Masthead Sloop,5.60 m,5.00 m,2.10 m,14.96 m<sup>2</sup>,1.00 m,750 kg,255 kg,18.47,34.00,167.30,Molded Plywood/FG,,1964,1000,G. Pfeiffer,11.49,2.33,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kolibri-560/pdf"">PDF</a>",KOLIBRI 560,05282.jpg,,van den Brink (NED),,2011,,,,,,,,,,,,,
Fin w/transom hung rudder,Masthead Sloop,5.60 m,5.00 m,2.10 m,14.96 m<sup>2</sup>,1.00 m,750 kg,255 kg,18.47,34.00,167.30,Molded Plywood/FG,,1964,1000,G. Pfeiffer,11.49,2.33,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kolibri-560/pdf"">PDF</a>",KOLIBRI 560,05283.jpg,,van den Brink (NED),,2011,,,,,,,,,,,,,
Catamaran (no boards/asym.),Fractional  Sloop,4.29 m,,2.01 m,11.15 m<sup>2</sup>,0.20 m,68 kg,,68.05,,,FG,,1971,,Lyle Hess,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kona-14/pdf"">PDF</a>",KONA 14,05284.jpg,,Fiberform (USA),,,,,,,,,,N/A,,,,,
Fin w/transom hung rudder,Masthead Sloop,8.79 m,7.77 m,3.28 m,36.33 m<sup>2</sup>,1.62 m,"3,863 kg","1,451 kg",15.05,37.58,229.28,FG,,1979,704,Laurent Giles,21.00,2.11,2.17,11.43 m,3.43 m,9.54 m,3.51 m,,,19.60 m<sup>2</sup>,16.72 m<sup>2</sup>,15.05,11.93 m,"<a class="""" href=""https://sailboatdata.com/sailboat/konsort-29-westerly/pdf"">PDF</a>",KONSORT 29 (WESTERLY),05285.jpg,,Westerly Marine Ltd. (UK),DV20ME,1991,Bukh,Diesel,20,68 L,,151 L,,,,,,,
Fin w/transom hung rudder,Masthead Sloop,8.79 m,7.77 m,3.28 m,36.33 m<sup>2</sup>,1.62 m,"3,863 kg","1,451 kg",15.05,37.58,229.28,FG,,1979,704,Laurent Giles,21.00,2.11,2.17,11.43 m,3.43 m,9.54 m,3.51 m,,,19.60 m<sup>2</sup>,16.72 m<sup>2</sup>,15.05,11.93 m,"<a class="""" href=""https://sailboatdata.com/sailboat/konsort-29-westerly/pdf"">PDF</a>",KONSORT 29 (WESTERLY),05286.jpg,,Westerly Marine Ltd. (UK),DV20ME,1991,Bukh,Diesel,20,68 L,,151 L,,,,,,,
Twin Keel,Masthead Sloop,8.79 m,7.82 m,3.28 m,30.19 m<sup>2</sup>,1.01 m,"4,581 kg","1,451 kg",11.17,31.68,266.56,FG,Iron,1984,108,Laurent Giles,24.80,1.99,1.68,11.43 m,3.43 m,9.54 m,3.51 m,,,19.60 m<sup>2</sup>,16.72 m<sup>2</sup>,13.43,11.93 m,"<a class="""" href=""https://sailboatdata.com/sailboat/konsort-29-duo-westerly/pdf"">PDF</a>",KONSORT 29 DUO (WESTERLY),05287.jpg,,Westerly Marine Ltd. (UK),2003,1988,Volvo Penta,Diesel,28,189 L,,379 L,,,,,,,
Twin Keel,Masthead Sloop,8.79 m,7.82 m,3.28 m,30.19 m<sup>2</sup>,1.01 m,"4,581 kg","1,451 kg",11.17,31.68,266.56,FG,Iron,1984,108,Laurent Giles,24.80,1.99,1.68,11.43 m,3.43 m,9.54 m,3.51 m,,,19.60 m<sup>2</sup>,16.72 m<sup>2</sup>,13.43,11.93 m,"<a class="""" href=""https://sailboatdata.com/sailboat/konsort-29-duo-westerly/pdf"">PDF</a>",KONSORT 29 DUO (WESTERLY),05288.jpg,,Westerly Marine Ltd. (UK),2003,1988,Volvo Penta,Diesel,28,189 L,,379 L,,,,,,,
Twin Daggerboards,Fractional  Sloop,4.12 m,3.85 m,1.45 m,9.94 m<sup>2</sup>,0.67 m,78 kg,,55.39,,38.11,Wood/FG,,1961,,Klaus Scheeberger,2.58,3.42,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/koralle/pdf"">PDF</a>",KORALLE,05289.jpg,0.11 m,Atlanta Bootsbau (GER),,1978,,,,,,,,,,,,,
Dbrd. Dinghy,Fractional  Sloop,3.66 m,3.48 m,1.50 m,7.62 m<sup>2</sup>,0.69 m,59 kg,,51.15,,38.97,FG,,1970,,,2.07,3.89,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/koralle-jr-kolibri/pdf"">PDF</a>",KORALLE JR. (KOLIBRI),05290.jpg,0.10 m,Atlanta Bootsbau (GER),,,,,,,,,,,,,,,
Dbrd. Dinghy,Fractional  Sloop,3.66 m,3.48 m,1.50 m,7.62 m<sup>2</sup>,0.69 m,59 kg,,51.15,,38.97,FG,,1970,,,2.07,3.89,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/koralle-jr-kolibri/pdf"">PDF</a>",KORALLE JR. (KOLIBRI),05291.jpg,0.10 m,Atlanta Bootsbau (GER),,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,5.00 m,,1.70 m,14.68 m<sup>2</sup>,1.00 m,100 kg,,69.43,,,Wood or FG,,1958,2780,Ernst Lehfeld,,3.70,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/korsar/pdf"">PDF</a>",KORSAR,05292.jpg,0.10 m,Leonhard Mader/Jürgen Hein (GER),,1977,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,5.00 m,,1.70 m,14.68 m<sup>2</sup>,1.00 m,100 kg,,69.43,,,Wood or FG,,1958,2780,Ernst Lehfeld,,3.70,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/korsar/pdf"">PDF</a>",KORSAR,05293.jpg,0.10 m,Leonhard Mader/Jürgen Hein (GER),,1977,,,,,,,,,,,,,
Trimaran Dbrd.,Masthead Sloop,7.62 m,6.46 m,4.27 m,27.87 m<sup>2</sup>,1.07 m,544 kg,,42.59,,56.22,Plywood,,1964,,Lock Crowther,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kraken-25/pdf"">PDF</a>",KRAKEN 25,05294.jpg,0.28 m,Plans for home builder,,,,,,,,,,1.15,,,,,
Trimaran Dbrd.,Masthead Sloop,7.62 m,6.46 m,4.27 m,27.87 m<sup>2</sup>,1.07 m,544 kg,,42.59,,56.22,Plywood,,1964,,Lock Crowther,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kraken-25/pdf"">PDF</a>",KRAKEN 25,05295.jpg,0.28 m,Plans for home builder,,,,,,,,,,1.15,,,,,
Trimaran Dbrd.,Masthead Sloop,10.06 m,9.14 m,7.01 m,45.71 m<sup>2</sup>,1.07 m,"1,814 kg",,31.33,,66.14,FG or Plywood,,1968,,Lock Crowther/John Hitch,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kraken-33/pdf"">PDF</a>",KRAKEN 33,05296.jpg,0.53 m,various,,,,,,,,,,0.96,,,,,
Trimaran Cbrd.,Masthead Sloop,12.04 m,10.52 m,8.23 m,69.68 m<sup>2</sup>,1.22 m,"2,722 kg",,36.45,,65.23,FG or Plywood,,1970,,Lock Crowther,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kraken-40/pdf"">PDF</a>",KRAKEN 40,05297.jpg,0.53 m,various,,,,,,,,,,1.04,,,,,
Fin with rudder on skeg,Solent,15.24 m,13.68 m,4.50 m,134.20 m<sup>2</sup>,2.30 m,"18,250 kg","6,500 kg",19.77,35.62,198.69,FG,Lead,2021,,Kevin Dibley,37.15,1.73,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kraken-50-dibley/pdf"">PDF</a>",KRAKEN 50 (DIBLEY),05298.jpg,,Kraken Yachts (TUR),,,,Diesel,80,850 L,,670 L,,,,,,24.80 m,
Fin with rudder on skeg,Solent,15.24 m,13.68 m,4.50 m,134.20 m<sup>2</sup>,2.30 m,"18,250 kg","6,500 kg",19.77,35.62,198.69,FG,Lead,2021,,Kevin Dibley,37.15,1.73,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kraken-50-dibley/pdf"">PDF</a>",KRAKEN 50 (DIBLEY),05299.jpg,,Kraken Yachts (TUR),,,,Diesel,80,850 L,,670 L,,,,,,24.80 m,
Fin with rudder on skeg,Solent,20.12 m,18.11 m,5.50 m,215.80 m<sup>2</sup>,2.65 m,"37,750 kg","12,500 kg",19.59,33.11,177.10,FG,Lead,2017,,Kevin Dibley,44.50,1.66,3.07,26.20 m,6.66 m,25.00 m,8.50 m,,,87.25 m<sup>2</sup>,106.26 m<sup>2</sup>,17.57,27.03 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kraken-66-dibley/pdf"">PDF</a>",KRAKEN 66 (DIBLEY),05300.jpg,,Kraken Yachts (TUR),,,,Diesel,195,"1,900 L",,"1,200 L",,,,,,,
Fin with rudder on skeg,Solent,20.12 m,18.11 m,5.50 m,215.80 m<sup>2</sup>,2.65 m,"37,750 kg","12,500 kg",19.59,33.11,177.10,FG,Lead,2017,,Kevin Dibley,44.50,1.66,3.07,26.20 m,6.66 m,25.00 m,8.50 m,,,87.25 m<sup>2</sup>,106.26 m<sup>2</sup>,17.57,27.03 m,"<a class="""" href=""https://sailboatdata.com/sailboat/kraken-66-dibley/pdf"">PDF</a>",KRAKEN 66 (DIBLEY),05301.jpg,,Kraken Yachts (TUR),,,,Diesel,195,"1,900 L",,"1,200 L",,,,,,,
Long Keel,Masthead Sloop,7.07 m,6.50 m,2.73 m,15.98 m<sup>2</sup>,0.75 m,"2,800 kg","1,000 kg",8.20,35.72,283.97,FG,,1970,100,Richard Lefeber,23.48,1.96,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/krammer-700/pdf"">PDF</a>",KRAMMER 700,05302.jpg,,EISTA WHARF,,1977,Farymann,Diesel,20,42 L,,121 L,www.krammerclub.nl,,,,,,
Long Keel,Masthead Sloop,7.07 m,6.50 m,2.73 m,15.98 m<sup>2</sup>,0.75 m,"2,800 kg","1,000 kg",8.20,35.72,283.97,FG,,1970,100,Richard Lefeber,23.48,1.96,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/krammer-700/pdf"">PDF</a>",KRAMMER 700,05303.jpg,,EISTA WHARF,,1977,Farymann,Diesel,20,42 L,,121 L,www.krammerclub.nl,,,,,,
Keel/Cbrd.,Cutter,8.23 m,7.14 m,2.49 m,35.02 m<sup>2</sup>,1.90 m,"7,112 kg",,9.66,,544.89,Wood,Iron,1979,,Maurice Griffiths,60.27,1.31,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kylix-27/pdf"">PDF</a>",KYLIX 27,05304.jpg,0.92 m,G. F. Smeeth/Bure Marine (UK),,,Saab,Diesel,10,,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,7.18 m,6.03 m,2.40 m,21.46 m<sup>2</sup>,1.30 m,"1,600 kg",650 kg,15.99,40.63,203.46,FG,Lead,1975,405,Lars Olsen,16.69,2.07,2.55,8.30 m,2.85 m,8.40 m,2.30 m,,,11.83 m<sup>2</sup>,9.67 m<sup>2</sup>,16.02,8.78 m,"<a class="""" href=""https://sailboatdata.com/sailboat/l-23/pdf"">PDF</a>",L 23,05305.jpg,,Peter Bjørn Olsen (DEN),,1988,,,,,,,,,,,,,
Fin w/transom hung rudder,Fractional  Sloop,7.80 m,,2.68 m,25.70 m<sup>2</sup>,1.45 m,"1,600 kg",,19.15,,,GRP,Cast iron,1980,87,Angelo Lavranos,,2.31,,8.20 m,2.96 m,8.75 m,3.10 m,,,12.13 m<sup>2</sup>,13.56 m<sup>2</sup>,19.15,8.72 m,"<a class="""" href=""https://sailboatdata.com/sailboat/l-26-lavranos/pdf"">PDF</a>",L 26 (LAVRANOS),05306.jpg,,"PSI Yachts (Durban, South Africa)",,,,,,,,,,,,,,,
Swing Keel,Fractional  Sloop,5.15 m,4.75 m,1.86 m,11.61 m<sup>2</sup>,1.08 m,355 kg,80 kg,23.58,22.48,92.43,FG,,1975,500,Christian Maury,6.81,2.65,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/l17-lanaverre/pdf"">PDF</a>",L17 (LANAVERRE),05307.jpg,0.19 m,Lanaverre/Yachting France (FRA),,1980,,,,,,,www.facebook.com/Lanaverre510,,,,,,
"Lifting keel w/bulb, trans. hung rudder",Fractional (7/8) Sloop,9.58 m,9.20 m,2.54 m,52.50 m<sup>2</sup>,1.88 m,"2,130 kg",790 kg,32.34,37.10,76.26,GRP w/ PVC foam sandwich,Lead,2015,,Andrej Justin,14.10,1.99,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/l30/pdf"">PDF</a>",L30,05308.jpg,0.58 m,SVP Yachts/ Shipman Yachts (Ukraine),SD6,,Oceanvolt,6 kW Electric; Saildrive,8,,,55 L,,,,,,13.15 m,
"Lifting keel w/bulb, trans. hung rudder",Fractional (7/8) Sloop,9.58 m,9.20 m,2.54 m,52.50 m<sup>2</sup>,1.88 m,"2,130 kg",790 kg,32.34,37.10,76.26,GRP w/ PVC foam sandwich,Lead,2015,,Andrej Justin,14.10,1.99,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/l30/pdf"">PDF</a>",L30,05309.jpg,0.58 m,SVP Yachts/ Shipman Yachts (Ukraine),SD6,,Oceanvolt,6 kW Electric; Saildrive,8,,,55 L,,,,,,13.15 m,
Fin Keel,Masthead Sloop,8.97 m,7.62 m,2.44 m,29.91 m<sup>2</sup>,1.52 m,"2,815 kg","1,300 kg",15.30,46.18,177.31,Plywood/single chine,Iron,1958,,Knud Olsen,22.78,1.75,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/la-cruiser/pdf"">PDF</a>",LA CRUISER,05310.jpg,,Botved Boats/Borresens (DEN),MD1,1967,Volvo Penta,Diesel,10,,,,,,,,,,
